Customer Id,Customer Rating,Gender,0,F Quartile,Frequency of Visit,Last Day(s) of Visit,M Quartile,Number of Records,R Quartile,RFM Class,Spending Per Visit (RM),Total Spending (RM)
280054,Potential Lost,Female,0,1,11,75,1,1,3,311,2121.346118182,23334.8073
280101,Potential Lost,Female,0,1,16,71,1,1,3,311,1108.1055625,17729.689
280917,Potential Lost,Female,0,1,29,71,1,1,3,311,181.403448276,5260.7
282441,Potential Lost,Female,0,1,26,74,1,1,3,311,300.186173077,7804.8405
282602,Potential Lost,Female,0,1,27,81,1,1,3,311,987.9922,26675.7894
283023,Potential Lost,Female,0,1,18,113,1,1,3,311,804.4073,14479.3314
289029,Potential Lost,Female,0,1,20,68,1,1,3,311,286.305,5726.1
305375,Potential Lost,Female,0,1,20,74,1,1,3,311,140.61,2812.2
309506,Potential Lost,Female,0,1,28,111,1,1,3,311,262.813471429,7358.7772
309766,Potential Lost,Female,0,1,12,64,1,1,3,311,1370.3,16443.6
666165,Potential Lost,Female,0,1,15,91,1,1,3,311,550.236406667,8253.5461
666543,Potential Lost,Female,0,1,11,133,1,1,3,311,568.730563636,6256.0362
869017,Potential Lost,Female,0,1,13,70,1,1,3,311,315.861538462,4106.2
203390,Regular Shoppers,Female,0,3,3,153,4,1,4,434,35.666666667,107
203402,Regular Shoppers,Female,0,4,1,77,4,1,3,344,101,101
203403,Regular Shoppers,Female,0,2,6,3,3,1,1,123,65.9,395.4
203522,Regular Shoppers,Female,0,2,7,41,2,1,2,222,172.4,1206.8
203732,Regular Shoppers,Female,0,2,5,3,4,1,1,124,17.6,88
203838,Regular Shoppers,Female,0,3,2,273,3,1,4,433,70.25,140.5
203858,Regular Shoppers,Female,0,4,1,289,3,1,4,443,158,158
203866,Regular Shoppers,Female,0,3,2,17,4,1,1,134,26.5,53
203867,Regular Shoppers,Female,0,3,2,289,4,1,4,434,5,10
203893,Regular Shoppers,Female,0,4,1,111,4,1,3,344,108,108
203895,Regular Shoppers,Female,0,4,1,18,4,1,1,144,43,43
203920,Regular Shoppers,Female,0,4,1,0,4,1,1,144,72,72
210321,Regular Shoppers,Female,0,4,1,184,3,1,4,443,180,180
210461,Regular Shoppers,Female,0,2,5,31,2,1,2,222,432.456,2162.28
210603,Regular Shoppers,Female,0,2,5,78,4,1,3,324,17.85,89.25
210608,Regular Shoppers,Female,0,3,2,251,2,1,4,432,1007.4156,2014.8312
210800,Regular Shoppers,Female,0,2,7,39,2,1,2,222,220.677142857,1544.74
210803,Regular Shoppers,Female,0,4,1,119,4,1,3,344,68.842,68.842
230004,Regular Shoppers,Female,0,2,4,105,3,1,3,323,90.1,360.4
230028,Regular Shoppers,Female,0,4,1,179,3,1,4,443,180,180
230029,Regular Shoppers,Female,0,4,1,92,2,1,3,342,1280,1280
230031,Regular Shoppers,Female,0,2,8,22,2,1,2,222,260.1375,2081.1
230032,Regular Shoppers,Female,0,4,1,124,4,1,3,344,6,6
230037,Regular Shoppers,Female,0,4,1,21,4,1,2,244,44,44
230043,Regular Shoppers,Female,0,2,4,105,2,1,3,322,295.6,1182.4
230069,Regular Shoppers,Female,0,3,2,50,3,1,2,233,154.5,309
230079,Regular Shoppers,Female,0,2,8,61,3,1,2,223,58.6,468.8
230080,Regular Shoppers,Female,0,4,1,214,3,1,4,443,131.2,131.2
230105,Regular Shoppers,Female,0,2,6,35,3,1,2,223,52.8,316.8
230117,Regular Shoppers,Female,0,3,2,104,2,1,3,332,278.5,557
230123,Regular Shoppers,Female,0,4,1,138,4,1,3,344,33,33
230125,Regular Shoppers,Female,0,4,1,220,2,1,4,442,2228,2228
230173,Regular Shoppers,Female,0,2,6,0,2,1,1,122,119.333333333,716
230176,Regular Shoppers,Female,0,4,1,92,4,1,3,344,83.6,83.6
230190,Regular Shoppers,Female,0,3,2,154,3,1,4,433,86,172
230193,Regular Shoppers,Female,0,4,1,70,3,1,3,343,172.8,172.8
230196,Regular Shoppers,Female,0,4,1,31,3,1,2,243,395,395
230205,Regular Shoppers,Female,0,2,9,14,3,1,1,123,36.055555556,324.5
230307,Regular Shoppers,Female,0,2,10,22,2,1,2,222,132.56,1325.6
230322,Regular Shoppers,Female,0,2,4,194,3,1,4,423,55.85,223.4
230336,Regular Shoppers,Female,0,4,1,209,3,1,4,443,115.4,115.4
230341,Regular Shoppers,Female,0,3,2,7,3,1,1,133,253.4,506.8
230346,Regular Shoppers,Female,0,2,7,5,2,1,1,122,233.142857143,1632
230348,Regular Shoppers,Female,0,4,1,155,3,1,4,443,224,224
230352,Regular Shoppers,Female,0,3,2,137,3,1,3,333,75.8,151.6
230358,Regular Shoppers,Female,0,3,2,22,4,1,2,234,11.5,23
230376,Regular Shoppers,Female,0,3,2,40,4,1,2,234,52.1,104.2
230395,Regular Shoppers,Female,0,2,4,47,3,1,2,223,63.9,255.6
230401,Regular Shoppers,Female,0,3,2,216,4,1,4,434,53.3,106.6
230471,Regular Shoppers,Female,0,3,3,11,4,1,1,134,28.066666667,84.2
230477,Regular Shoppers,Female,0,2,4,35,2,1,2,222,261.5,1046
230478,Regular Shoppers,Female,0,2,4,47,2,1,2,222,462.8,1851.2
230487,Regular Shoppers,Female,0,3,3,0,4,1,1,134,9,27
230603,Regular Shoppers,Female,0,2,4,42,2,1,2,222,255.2,1020.8
230610,Regular Shoppers,Female,0,2,7,21,2,1,2,222,85.714285714,600
230622,Regular Shoppers,Female,0,2,8,21,2,1,2,222,168.0625,1344.5
230639,Regular Shoppers,Female,0,3,2,92,2,1,3,332,400,800
230645,Regular Shoppers,Female,0,2,4,0,3,1,1,123,38.3,153.2
230755,Regular Shoppers,Female,0,3,3,92,3,1,3,333,99.133333333,297.4
230763,Regular Shoppers,Female,0,4,1,92,4,1,3,344,43,43
230789,Regular Shoppers,Female,0,4,1,31,3,1,2,243,256,256
230936,Regular Shoppers,Female,0,3,2,4,3,1,1,133,135,270
230937,Regular Shoppers,Female,0,3,2,102,4,1,3,334,46,92
230946,Regular Shoppers,Female,0,4,1,279,2,1,4,442,600,600
230947,Regular Shoppers,Female,0,2,4,138,4,1,3,324,16.5,66
230957,Regular Shoppers,Female,0,3,2,35,3,1,2,233,95.75,191.5
230959,Regular Shoppers,Female,0,2,7,4,3,1,1,123,45.314285714,317.2
230971,Regular Shoppers,Female,0,2,5,85,3,1,3,323,77.52,387.6
231076,Regular Shoppers,Female,0,3,3,123,3,1,3,333,92.533333333,277.6
231103,Regular Shoppers,Female,0,4,1,101,4,1,3,344,33.6,33.6
231107,Regular Shoppers,Female,0,2,4,22,4,1,2,224,22.55,90.2
231354,Regular Shoppers,Female,0,3,2,173,3,1,4,433,210,420
231392,Regular Shoppers,Female,0,4,1,188,2,1,4,442,1671,1671
231469,Regular Shoppers,Female,0,4,1,194,3,1,4,443,126,126
231484,Regular Shoppers,Female,0,2,4,31,3,1,2,223,62.375,249.5
231625,Regular Shoppers,Female,0,4,1,154,3,1,4,443,158,158
231634,Regular Shoppers,Female,0,3,3,43,3,1,2,233,57.066666667,171.2
231652,Regular Shoppers,Female,0,4,1,47,3,1,2,243,139,139
231656,Regular Shoppers,Female,0,3,2,141,3,1,4,433,234.4,468.8
231660,Regular Shoppers,Female,0,2,8,19,2,1,1,122,102.7,821.6
231667,Regular Shoppers,Female,0,2,5,12,3,1,1,123,98.4,492
231670,Regular Shoppers,Female,0,4,1,8,3,1,1,143,128,128
231672,Regular Shoppers,Female,0,2,5,8,3,1,1,123,68.26,341.3
231771,Regular Shoppers,Female,0,3,2,257,3,1,4,433,77,154
231774,Regular Shoppers,Female,0,3,2,94,3,1,3,333,92,184
231797,Regular Shoppers,Female,0,3,3,101,3,1,3,333,80,240
231801,Regular Shoppers,Female,0,4,1,105,4,1,3,344,27.4,27.4
231954,Regular Shoppers,Female,0,2,5,71,3,1,3,323,38.72,193.6
231959,Regular Shoppers,Female,0,3,3,179,2,1,4,432,448,1344
231963,Regular Shoppers,Female,0,4,1,285,3,1,4,443,350,350
231981,Regular Shoppers,Female,0,3,2,145,3,1,4,433,263,526
231991,Regular Shoppers,Female,0,4,1,140,4,1,3,344,59,59
231997,Regular Shoppers,Female,0,3,3,92,4,1,3,334,24.333333333,73
232016,Regular Shoppers,Female,0,3,2,245,4,1,4,434,9.2,18.4
232035,Regular Shoppers,Female,0,4,1,4,3,1,1,143,220,220
232062,Regular Shoppers,Female,0,4,1,0,3,1,1,143,256,256
232123,Regular Shoppers,Female,0,3,2,223,4,1,4,434,44.2,88.4
232143,Regular Shoppers,Female,0,2,5,10,3,1,1,123,56.42,282.1
232146,Regular Shoppers,Female,0,3,2,61,4,1,2,234,18.1,36.2
232148,Regular Shoppers,Female,0,2,7,61,2,1,2,222,97.485714286,682.4
232165,Regular Shoppers,Female,0,2,4,168,2,1,4,422,195.15,780.6
232291,Regular Shoppers,Female,0,4,1,179,3,1,4,443,162,162
232294,Regular Shoppers,Female,0,2,4,84,3,1,3,323,92.5,370
232421,Regular Shoppers,Female,0,2,4,49,2,1,2,222,425,1700
232428,Regular Shoppers,Female,0,3,2,85,4,1,3,334,20,40
232441,Regular Shoppers,Female,0,3,2,0,4,1,1,134,5.4,10.8
232455,Regular Shoppers,Female,0,2,4,159,2,1,4,422,361.575,1446.3
232459,Regular Shoppers,Female,0,3,2,96,3,1,3,333,139.8,279.6
232461,Regular Shoppers,Female,0,2,6,31,2,1,2,222,111.833333333,671
232468,Regular Shoppers,Female,0,2,8,10,3,1,1,123,24.375,195
232503,Regular Shoppers,Female,0,4,1,81,3,1,3,343,122.8,122.8
232504,Regular Shoppers,Female,0,3,2,162,2,1,4,432,658.1348,1316.2696
232508,Regular Shoppers,Female,0,3,3,47,3,1,2,233,135.933333333,407.8
232661,Regular Shoppers,Female,0,2,10,145,2,1,4,422,152.9,1529
232665,Regular Shoppers,Female,0,2,6,66,2,1,3,322,168.483333333,1010.9
232689,Regular Shoppers,Female,0,4,1,131,4,1,3,344,27,27
232705,Regular Shoppers,Female,0,3,2,10,3,1,1,133,219,438
232804,Regular Shoppers,Female,0,3,3,92,2,1,3,332,234,702
232811,Regular Shoppers,Female,0,4,1,48,4,1,2,244,4.6,4.6
232815,Regular Shoppers,Female,0,4,1,164,2,1,4,442,670,670
232819,Regular Shoppers,Female,0,2,8,25,3,1,2,223,26.34,210.72
232842,Regular Shoppers,Female,0,4,1,293,3,1,4,443,361.8,361.8
232877,Regular Shoppers,Female,0,3,2,92,2,1,3,332,515,1030
232909,Regular Shoppers,Female,0,3,2,171,3,1,4,433,189.6,379.2
232911,Regular Shoppers,Female,0,2,5,21,2,1,2,222,329.06,1645.3
232920,Regular Shoppers,Female,0,3,2,214,3,1,4,433,95.4,190.8
232939,Regular Shoppers,Female,0,2,10,39,2,1,2,222,170.95,1709.5
232946,Regular Shoppers,Female,0,3,3,92,3,1,3,333,116.333333333,349
232982,Regular Shoppers,Female,0,3,3,53,3,1,2,233,46.733333333,140.2
232987,Regular Shoppers,Female,0,2,5,49,3,1,2,223,48.36,241.8
233008,Regular Shoppers,Female,0,3,2,76,4,1,3,334,7.5,15
233016,Regular Shoppers,Female,0,3,3,7,2,1,1,132,350.933333333,1052.8
233027,Regular Shoppers,Female,0,4,1,132,4,1,3,344,19.5,19.5
233031,Regular Shoppers,Female,0,2,10,35,3,1,2,223,17.58,175.8
233037,Regular Shoppers,Female,0,4,1,31,4,1,2,244,32,32
233043,Regular Shoppers,Female,0,2,6,81,2,1,3,322,291.216666667,1747.3
233059,Regular Shoppers,Female,0,3,3,0,3,1,1,133,101.4,304.2
233062,Regular Shoppers,Female,0,3,2,64,2,1,3,332,868.95,1737.9
233101,Regular Shoppers,Female,0,2,10,21,3,1,2,223,51.8,518
233118,Regular Shoppers,Female,0,3,2,92,4,1,3,334,10.8,21.6
233130,Regular Shoppers,Female,0,3,2,14,3,1,1,133,160,320
233135,Regular Shoppers,Female,0,3,2,31,4,1,2,234,7.65,15.3
233139,Regular Shoppers,Female,0,2,4,8,2,1,1,122,330.93,1323.72
233144,Regular Shoppers,Female,0,4,1,133,3,1,3,343,124.6,124.6
233149,Regular Shoppers,Female,0,2,6,138,2,1,3,322,392,2352
233154,Regular Shoppers,Female,0,3,3,101,2,1,3,332,248.666666667,746
233166,Regular Shoppers,Female,0,4,1,85,4,1,3,344,100,100
233171,Regular Shoppers,Female,0,4,1,92,3,1,3,343,108.9,108.9
233173,Regular Shoppers,Female,0,2,5,145,3,1,4,423,36.46,182.3
233204,Regular Shoppers,Female,0,3,2,138,2,1,3,332,716,1432
233349,Regular Shoppers,Female,0,3,3,155,3,1,4,433,39.666666667,119
233354,Regular Shoppers,Female,0,4,1,51,4,1,2,244,61.2,61.2
233379,Regular Shoppers,Female,0,2,6,92,2,1,3,322,212.816666667,1276.9
233461,Regular Shoppers,Female,0,2,4,71,3,1,3,323,36.075,144.3
233463,Regular Shoppers,Female,0,3,2,179,3,1,4,433,144.5,289
233589,Regular Shoppers,Female,0,2,5,123,4,1,3,324,20.7,103.5
233617,Regular Shoppers,Female,0,3,2,0,3,1,1,133,63.2,126.4
233618,Regular Shoppers,Female,0,4,1,113,2,1,3,342,543.6,543.6
233619,Regular Shoppers,Female,0,2,7,61,3,1,2,223,67.114285714,469.8
233755,Regular Shoppers,Female,0,3,2,12,4,1,1,134,12,24
233760,Regular Shoppers,Female,0,2,5,0,3,1,1,123,59.96,299.8
242052,Regular Shoppers,Female,0,2,6,56,2,1,2,222,313.731666667,1882.39
244448,Regular Shoppers,Female,0,2,4,39,2,1,2,222,204.55,818.2
244462,Regular Shoppers,Female,0,3,2,18,2,1,1,132,640.76935,1281.5387
244466,Regular Shoppers,Female,0,2,5,148,3,1,4,423,47.21312,236.0656
244469,Regular Shoppers,Female,0,2,8,21,2,1,2,222,117.375,939
244470,Regular Shoppers,Female,0,4,1,224,3,1,4,443,465.3676,465.3676
250001,Regular Shoppers,Female,0,2,4,34,3,1,2,223,134.3,537.2
250005,Regular Shoppers,Female,0,4,1,36,3,1,2,243,141,141
250251,Regular Shoppers,Female,0,2,4,272,4,1,4,424,16.47,65.88
250453,Regular Shoppers,Female,0,2,6,229,2,1,4,422,413.739383333,2482.4363
250456,Regular Shoppers,Female,0,2,6,7,2,1,1,122,106.0397,636.2382
250500,Regular Shoppers,Female,0,2,7,21,2,1,2,222,293.375714286,2053.63
250606,Regular Shoppers,Female,0,2,10,48,2,1,2,222,173.68,1736.8
250753,Regular Shoppers,Female,0,3,2,41,2,1,2,232,813.9,1627.8
252674,Regular Shoppers,Female,0,3,3,7,3,1,1,133,123.933333333,371.8
252960,Regular Shoppers,Female,0,2,6,109,2,1,3,322,383,2298
255503,Regular Shoppers,Female,0,4,1,57,2,1,2,242,1622.625,1622.625
255510,Regular Shoppers,Female,0,4,1,244,2,1,4,442,1527.444,1527.444
255514,Regular Shoppers,Female,0,2,9,7,3,1,1,123,46.644444444,419.8
255576,Regular Shoppers,Female,0,2,4,216,2,1,4,422,333.0827,1332.3308
255589,Regular Shoppers,Female,0,4,1,20,2,1,1,142,645,645
255591,Regular Shoppers,Female,0,4,1,215,2,1,4,442,1102.3506,1102.3506
255693,Regular Shoppers,Female,0,4,1,15,2,1,1,142,984.06,984.06
262000,Regular Shoppers,Female,0,3,3,69,2,1,3,332,521.333333333,1564
262001,Regular Shoppers,Female,0,2,6,14,2,1,1,122,252.533333333,1515.2
262011,Regular Shoppers,Female,0,2,10,8,2,1,1,122,130.3,1303
262013,Regular Shoppers,Female,0,2,7,21,2,1,2,222,128.542857143,899.8
262014,Regular Shoppers,Female,0,2,4,21,2,1,2,222,422.25,1689
262015,Regular Shoppers,Female,0,3,3,57,3,1,2,233,99.933333333,299.8
262017,Regular Shoppers,Female,0,2,4,48,3,1,2,223,83.975,335.9
262059,Regular Shoppers,Female,0,4,1,4,4,1,1,144,63,63
262063,Regular Shoppers,Female,0,3,3,27,4,1,2,234,3.066666667,9.2
262089,Regular Shoppers,Female,0,3,2,5,3,1,1,133,138,276
262106,Regular Shoppers,Female,0,3,3,25,3,1,2,233,116,348
262107,Regular Shoppers,Female,0,4,1,5,4,1,1,144,12,12
262129,Regular Shoppers,Female,0,4,1,34,2,1,2,242,570,570
262130,Regular Shoppers,Female,0,3,2,22,3,1,2,233,110,220
262132,Regular Shoppers,Female,0,2,7,91,4,1,3,324,13.985714286,97.9
262143,Regular Shoppers,Female,0,3,3,224,3,1,4,433,60.666666667,182
262149,Regular Shoppers,Female,0,2,8,20,3,1,1,123,65.875,527
262151,Regular Shoppers,Female,0,3,2,146,2,1,4,432,427.5,855
262164,Regular Shoppers,Female,0,4,1,35,3,1,2,243,167,167
262168,Regular Shoppers,Female,0,2,10,90,2,1,3,322,129.9,1299
262193,Regular Shoppers,Female,0,3,2,97,4,1,3,334,1.8,3.6
262196,Regular Shoppers,Female,0,3,2,151,4,1,4,434,5.8,11.6
203733,High Value Shoppers,Female,0,3,3,138,1,1,3,331,2425.333333333,7276
210671,High Value Shoppers,Female,0,2,7,19,1,1,1,121,10595.735985714,74170.1519
230054,High Value Shoppers,Female,0,3,3,179,1,1,4,431,2099.2,6297.6
230082,High Value Shoppers,Female,0,4,1,245,1,1,4,441,4590,4590
230124,High Value Shoppers,Female,0,3,2,168,1,1,4,431,4175,8350
230650,High Value Shoppers,Female,0,2,6,8,1,1,1,121,546.733333333,3280.4
232052,High Value Shoppers,Female,0,3,3,134,1,1,3,331,1980,5940
233001,High Value Shoppers,Female,0,2,8,34,1,1,2,221,1023.55,8188.4
233052,High Value Shoppers,Female,0,3,2,140,1,1,3,331,1882.9,3765.8
233126,High Value Shoppers,Female,0,3,2,123,1,1,3,331,2492.5,4985
242046,High Value Shoppers,Female,0,2,8,91,1,1,3,321,542.472925,4339.7834
244444,High Value Shoppers,Female,0,2,10,96,1,1,3,321,563.95249,5639.5249
244455,High Value Shoppers,Female,0,2,5,26,1,1,2,221,2520.32566,12601.6283
244465,High Value Shoppers,Female,0,2,10,55,1,1,2,221,693.99841,6939.9841
250250,High Value Shoppers,Female,0,3,2,203,1,1,4,431,2442.5736,4885.1472
262437,High Value Shoppers,Female,0,2,6,7,1,1,1,121,552.016666667,3312.1
262496,High Value Shoppers,Female,0,3,2,154,1,1,4,431,2250,4500
268005,High Value Shoppers,Female,0,2,7,4,1,1,1,121,801.857142857,5613
270008,High Value Shoppers,Female,0,4,1,84,1,1,3,341,3769.819,3769.819
270013,High Value Shoppers,Female,0,2,9,78,1,1,3,321,1031.803977778,9286.2358
278001,High Value Shoppers,Female,0,2,7,46,1,1,2,221,1185.319385714,8297.2357
280039,High Value Shoppers,Female,0,3,3,117,1,1,3,331,1507.2036,4521.6108
280326,High Value Shoppers,Female,0,2,8,11,1,1,1,121,447.375,3579
280467,High Value Shoppers,Female,0,2,7,29,1,1,2,221,2962.199171429,20735.3942
280952,High Value Shoppers,Female,0,2,6,49,1,1,2,221,907.303533333,5443.8212
289024,High Value Shoppers,Female,0,2,5,166,1,1,4,421,584,2920
289026,High Value Shoppers,Female,0,4,1,182,1,1,4,441,2954.772,2954.772
300028,High Value Shoppers,Female,0,2,8,92,1,1,3,321,622.73125,4981.85
300133,High Value Shoppers,Female,0,3,3,31,1,1,2,231,4284.87,12854.61
300647,High Value Shoppers,Female,0,2,4,96,1,1,3,321,806.7015,3226.806
302093,High Value Shoppers,Female,0,2,5,102,1,1,3,321,6592.98,32964.9
303509,High Value Shoppers,Female,0,2,10,7,1,1,1,121,623.28,6232.8
306782,High Value Shoppers,Female,0,2,4,31,1,1,2,221,1133.25,4533
306910,High Value Shoppers,Female,0,2,4,101,1,1,3,321,7434,29736
309276,High Value Shoppers,Female,0,4,1,148,1,1,4,441,4829,4829
310257,High Value Shoppers,Female,0,2,6,55,1,1,2,221,533.766666667,3202.6
311085,High Value Shoppers,Female,0,2,5,11,1,1,1,121,629.12032,3145.6016
312732,High Value Shoppers,Female,0,3,2,187,1,1,4,431,2386.8,4773.6
313938,High Value Shoppers,Female,0,4,1,53,1,1,2,241,5800,5800
315044,High Value Shoppers,Female,0,2,6,69,1,1,3,321,2104.166666667,12625
318794,High Value Shoppers,Female,0,2,5,57,1,1,2,221,620.96,3104.8
322094,High Value Shoppers,Female,0,3,2,179,1,1,4,431,2000,4000
327276,High Value Shoppers,Female,0,3,3,94,1,1,3,331,1581,4743
327945,High Value Shoppers,Female,0,3,3,47,1,1,2,231,1428.333333333,4285
328394,High Value Shoppers,Female,0,3,2,85,1,1,3,331,7500,15000
330591,High Value Shoppers,Female,0,3,3,92,1,1,3,331,1620,4860
330678,High Value Shoppers,Female,0,3,2,179,1,1,4,431,1724,3448
334069,High Value Shoppers,Female,0,3,2,185,1,1,4,431,1610,3220
334580,High Value Shoppers,Female,0,4,1,288,1,1,4,441,4800,4800
334798,High Value Shoppers,Female,0,4,1,153,1,1,4,441,4894,4894
336636,High Value Shoppers,Female,0,4,1,35,1,1,2,241,5820,5820
338692,High Value Shoppers,Female,0,4,1,259,1,1,4,441,4660,4660
339218,High Value Shoppers,Female,0,4,1,184,1,1,4,441,4700,4700
339539,High Value Shoppers,Female,0,4,1,133,1,1,3,341,4800,4800
600177,High Value Shoppers,Female,0,2,10,96,1,1,3,321,413.166,4131.66
666229,High Value Shoppers,Female,0,2,8,91,1,1,3,321,383.6374,3069.0992
666236,High Value Shoppers,Female,0,2,5,26,1,1,2,221,1843.53,9217.65
666253,High Value Shoppers,Female,0,2,10,55,1,1,2,221,498.6,4986
666256,High Value Shoppers,Female,0,2,4,55,1,1,2,221,1476.55025,5906.201
666531,High Value Shoppers,Female,0,2,4,82,1,1,3,321,941.75875,3767.035
869368,Lost Customer,Female,0,1,32,165,1,1,4,411,823.9525,26366.48
233018,Window Shoppers,Female,0,4,1,216,4,1,4,444,90,90
233471,Window Shoppers,Female,0,4,1,147,4,1,4,444,9.9,9.9
233566,Window Shoppers,Female,0,4,1,154,4,1,4,444,4.5,4.5
233596,Window Shoppers,Female,0,4,1,154,4,1,4,444,3.8,3.8
233759,Window Shoppers,Female,0,4,1,253,4,1,4,444,18,18
233952,Window Shoppers,Female,0,4,1,252,4,1,4,444,4,4
252675,Window Shoppers,Female,0,4,1,146,4,1,4,444,52.5,52.5
255517,Window Shoppers,Female,0,4,1,222,4,1,4,444,22,22
262032,Window Shoppers,Female,0,4,1,210,4,1,4,444,11.178,11.178
262165,Window Shoppers,Female,0,4,1,245,4,1,4,444,7.8,7.8
262400,Window Shoppers,Female,0,4,1,265,4,1,4,444,65.7,65.7
262426,Window Shoppers,Female,0,4,1,284,4,1,4,444,13.5,13.5
262445,Window Shoppers,Female,0,4,1,162,4,1,4,444,46.4,46.4
262484,Window Shoppers,Female,0,4,1,243,4,1,4,444,70,70
280335,Window Shoppers,Female,0,4,1,256,4,1,4,444,99,99
280535,Window Shoppers,Female,0,4,1,216,4,1,4,444,41.5,41.5
280536,Window Shoppers,Female,0,4,1,215,4,1,4,444,90,90
280920,Window Shoppers,Female,0,4,1,284,4,1,4,444,76,76
280958,Window Shoppers,Female,0,4,1,259,4,1,4,444,22.5,22.5
300214,Window Shoppers,Female,0,4,1,145,4,1,4,444,60,60
300255,Window Shoppers,Female,0,4,1,147,4,1,4,444,80,80
300614,Window Shoppers,Female,0,4,1,260,4,1,4,444,9,9
302070,Window Shoppers,Female,0,4,1,292,4,1,4,444,77,77
302483,Window Shoppers,Female,0,4,1,246,4,1,4,444,38.4,38.4
303141,Window Shoppers,Female,0,4,1,289,4,1,4,444,42,42
304601,Window Shoppers,Female,0,4,1,273,4,1,4,444,31.2,31.2
